family,seed,n_queries,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,model,route10
Buchwald-HartwigCross-Coupling,1,1099,0.5186533212010919,0.31028207461328483,0.4030937215650591,0.43039126478616924,0.4549590536851683,0.364345011669583,0.37608158055145585,486,12.296636086419754,0.35802469135802467,0.5720164609053497,0.8251028806584362,Without_RGNN_temperature,0.6032757051865332
Buchwald-HartwigCross-Coupling,2,1099,0.5241128298453139,0.30937215650591443,0.40582347588717016,0.4258416742493175,0.46496815286624205,0.3655958348873867,0.3793474817720328,492,11.562660477642275,0.3516260162601626,0.5670731707317073,0.8252032520325203,ProSys,0.6032757051865332
Buchwald-HartwigCross-Coupling,2,1099,0.5241128298453139,0.24840764331210188,0.3039126478616924,0.3257506824385805,0.3412192902638762,0.28578167696123774,0.293819590377038,0,,,,,Without_LTR,0.6032757051865332
Buchwald-HartwigCross-Coupling,2,1099,0.5241128298453139,0.30937215650591443,0.40582347588717016,0.4258416742493175,0.46496815286624205,0.3655958348873867,0.3793474817720328,492,11.777623276422764,0.3719512195121951,0.5711382113821138,0.8211382113821138,Without_RGNN_temperature,0.6032757051865332
Buchwald-HartwigCross-Coupling,0,1099,0.31028207461328483,0.0718835304822566,0.12465878070973613,0.1510464058234759,0.19472247497725206,0.11210859873622912,0.1275581554627593,0,,,,,B1_ProductNB,0.6032757051865332
Buchwald-HartwigCross-Coupling,0,1099,0.27661510464058237,0.020018198362147407,0.03821656050955414,0.07279344858962694,0.13102820746132848,0.049941921757660185,0.06175483581811943,0,,,,,B2_ProductGNN,0.6032757051865332
Buchwald-HartwigCross-Coupling,0,1099,0.3330300272975432,0.06369426751592357,0.11101000909918107,0.13830755232029115,0.186533212010919,0.10282887667379514,0.11657392378495028,304,8.1213265406458,0.5493421052631579,0.7598684210526315,0.9046052631578947,B3_SequentialFNN,0.6032757051865332
Buchwald-HartwigCross-Coupling,0,1099,0.2584167424931756,0.05004549590536852,0.07734303912647861,0.09918107370336669,0.1364877161055505,0.07674629113856028,0.08546716152750636,0,,,,,B4_ReactionGCNN,0.6032757051865332
Buchwald-HartwigCross-Coupling,1,1099,0.24476797088262056,0.013648771610555048,0.03821656050955414,0.0673339399454049,0.12192902638762511,0.04281416627151936,0.05483418184980808,0,,,,,B2_ProductGNN,0.6032757051865332
Buchwald-HartwigCross-Coupling,1,1099,0.30664240218380345,0.047315741583257506,0.10282074613284804,0.1337579617834395,0.18016378525932666,0.09026373445213169,0.10665906549533187,272,9.002782295731937,0.5073529411764706,0.7426470588235294,0.8602941176470589,B3_SequentialFNN,0.6032757051865332
Buchwald-HartwigCross-Coupling,1,1099,0.26205641492265697,0.048225659690627844,0.08280254777070063,0.09736123748862603,0.1264786169244768,0.07534142088764052,0.08184339181678682,0,,,,,B4_ReactionGCNN,0.6032757051865332
Buchwald-HartwigCross-Coupling,2,1099,0.25113739763421294,0.014558689717925385,0.04549590536851683,0.07279344858962694,0.13102820746132848,0.04617494568096095,0.06106017958912318,0,,,,,B2_ProductGNN,0.6032757051865332
Buchwald-HartwigCross-Coupling,2,1099,0.3148316651501365,0.05186533212010919,0.10282074613284804,0.13011828935395814,0.16560509554140126,0.0911446987099519,0.10343627720429217,281,9.400577158266115,0.505338078291815,0.7402135231316725,0.8861209964412812,B3_SequentialFNN,0.6032757051865332
