,,route10,route10,route10,cover,cover,cover,sys1,sys1,sys1,sys3,sys3,sys3,sys5,sys5,sys5,sys10,sys10,sys10,mrr,mrr,mrr,ndcg10,ndcg10,ndcg10,temp_mae,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c,temp_within_20c,temp_n,temp_n,temp_n
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
family,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friedel-CraftsAcylation,ProSys,0.6189473684210526,0.0,3,0.5817543859649122,0.0024309485018510456,3,0.19578947368421054,0.013147364207154517,3,0.3129824561403509,0.021296829341043516,3,0.36280701754385963,0.015229848711726774,3,0.44140350877192985,0.021087690107111163,3,0.276306583990224,0.014963792173153289,3,0.2960248467836408,0.018546188323716656,3,10.081158838355543,0.07147071137105544,3,0.41340552957584703,0.008487992226681474,3,0.6676101402904258,0.007953447517625665,3,0.8645148435943414,0.006718356365844751,3,238.66666666666666,0.5773502691896278,3
Friedel-CraftsAcylation,Without_LTR,0.6189473684210526,0.0,3,0.5817543859649122,0.0024309485018510456,3,0.2343859649122807,0.009949085528952862,3,0.3256140350877193,0.006077371254627658,3,0.35017543859649125,0.003215842592951473,3,0.3663157894736842,0.0036464227527765567,3,0.29012807848964967,0.006547923138882253,3,0.30175422171384975,0.007398802891294611,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Friedel-CraftsAcylation,Without_RGNN_temperature,0.6189473684210526,0.0,3,0.5817543859649122,0.0024309485018510456,3,0.19578947368421054,0.013147364207154517,3,0.3129824561403509,0.021296829341043516,3,0.36280701754385963,0.015229848711726774,3,0.44140350877192985,0.021087690107111163,3,0.276306583990224,0.014963792173153289,3,0.2960248467836408,0.018546188323716656,3,12.274795428493045,0.4407016266768023,3,0.34085182190030827,0.044466388896134204,3,0.6117576737808094,0.023165491904480282,3,0.8142470377272248,0.014664123816296365,3,238.66666666666666,0.5773502691896278,3
Friedel-CraftsAcylation,B1_ProductNB,0.6189473684210526,,1,0.4336842105263158,,1,0.17894736842105263,,1,0.25263157894736843,,1,0.2905263157894737,,1,0.33473684210526317,,1,0.22949712579106665,,1,0.24226900528600984,,1,,,0,,,0,,,0,,,0,0.0,,1
Friedel-CraftsAcylation,B2_ProductGNN,0.6189473684210526,0.0,3,0.4407017543859649,0.01635253361085058,3,0.07578947368421053,0.00421052631578947,3,0.12912280701754386,0.012689923733350967,3,0.176140350877193,0.016079212964757332,3,0.24842105263157896,0.009647527778854425,3,0.12628271185067103,0.006599361027545619,3,0.14395513611535568,0.008272517627758212,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Friedel-CraftsAcylation,B3_SequentialFNN,0.6189473684210526,0.0,3,0.5157894736842105,0.004210526315789512,3,0.15649122807017543,0.02119251771304071,3,0.25473684210526315,0.017987376305931634,3,0.28421052631578947,0.0222800110405439,3,0.3319298245614035,0.022113615798721054,3,0.22124419380300875,0.01991997702968459,3,0.23789633144110553,0.020423426788340974,3,12.407802641008383,0.19366863700396042,3,0.4317604352177858,0.010277220240129345,3,0.6231913398814344,0.010380852385899765,3,0.8068711325574004,0.009276080230650293,3,212.33333333333334,1.5275252316519499,3
Friedel-CraftsAcylation,B4_ReactionGCNN,0.6189473684210526,0.0,3,0.45543859649122803,0.022510898150660267,3,0.05824561403508772,0.008508319756478698,3,0.13614035087719298,0.0024309485018510456,3,0.17614035087719296,0.006431685185902937,3,0.25122807017543863,0.007393441230072086,3,0.11874041643219996,0.005039676518116808,3,0.14174916621119607,0.004343569067556259,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Friedel-CraftsAcylation,Without_KNN,0.6189473684210526,0.0,3,0.519298245614035,0.012689923733350966,3,0.1768421052631579,0.017232321624994624,3,0.2575438596491228,0.00243094850185109,3,0.29754385964912283,0.005298129428260196,3,0.36771929824561406,0.003215842592951458,3,0.2383391554957197,0.009074244679190968,3,0.2532326836638657,0.005372612950354747,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Friedel-CraftsAcylation,Without_ReaFNN,0.6189473684210526,0.0,3,0.5789473684210527,0.0,3,0.16631578947368422,0.03670651741928989,3,0.25754385964912285,0.04861897003702115,3,0.296140350877193,0.05093402754140084,3,0.37543859649122807,0.06110100926607789,3,0.23395066610620555,0.04191756566803564,3,0.24708900049797408,0.048596600438127864,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Friedel-CraftsAlkylation,ProSys,0.4026696329254727,0.0,3,0.3767148683722655,0.0016991381887118294,3,0.1839080459770115,0.015744066552141004,3,0.2825361512791991,0.015413132881591792,3,0.3088616981831665,0.009590298224974087,3,0.3303670745272525,0.006766142970298319,3,0.2398534650330191,0.010965134221658,3,0.25533306175335463,0.010535128630678582,3,10.63097255601533,0.9122503966895029,3,0.40583537445911233,0.008408710895964107,3,0.6254936092592207,0.024321480454961943,3,0.8398585468498757,0.027374298079579463,3,320.3333333333333,2.0816659994661246,3
Friedel-CraftsAlkylation,Without_LTR,0.4026696329254727,0.0,3,0.3767148683722655,0.0016991381887118294,3,0.14275120504263997,0.00651775892890136,3,0.1768631813125695,0.003337041156840935,3,0.1831664812754913,0.0016991381887118326,3,0.1883574341861327,0.0027993453597592688,3,0.1661752855449896,0.0031938079432395523,3,0.1666243619121864,0.0016978934616680536,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Friedel-CraftsAlkylation,Without_RGNN_temperature,0.4026696329254727,0.0,3,0.3767148683722655,0.0016991381887118294,3,0.1839080459770115,0.015744066552141004,3,0.2825361512791991,0.015413132881591792,3,0.3088616981831665,0.009590298224974087,3,0.3303670745272525,0.006766142970298319,3,0.2398534650330191,0.010965134221658,3,0.25533306175335463,0.010535128630678582,3,13.386504819752739,0.5736900986990743,3,0.3216079191177517,0.020348672474641186,3,0.5485253086818641,0.03198112130224041,3,0.7763051491862453,0.017039328276559657,3,320.3333333333333,2.0816659994661246,3
Friedel-CraftsAlkylation,B1_ProductNB,0.40266963292547275,,1,0.14349276974416017,,1,0.02558398220244716,,1,0.05005561735261401,,1,0.06340378197997776,,1,0.08342602892102337,,1,0.04497433873934576,,1,0.05184092021324573,,1,,,0,,,0,,,0,,,0,0.0,,1
Friedel-CraftsAlkylation,B2_ProductGNN,0.4026696329254727,0.0,3,0.3159065628476085,0.009104953027666804,3,0.05635891731553578,0.00449549709046427,3,0.10975157582499073,0.006325073084624389,3,0.13681868743047831,0.009104953027666797,3,0.17204301075268816,0.00421127797241399,3,0.09570255684617135,0.0033150200930396213,3,0.10703681484326354,0.003390262640743296,3,,,0,,,0,,,0,,,0,0.0,0.0,3
Friedel-CraftsAlkylation,B3_SequentialFNN,0.4026696329254727,0.0,3,0.3481646273637375,0.0011123470522803047,3,0.11234705228031146,0.0029429936719294627,3,0.15202076381164256,0.0033982763774236925,3,0.1668520578420467,0.0040106243331078885,3,0.18205413422321096,0.001699138188711853,3,0.14002110740674747,0.0025071329902217193,3,0.14547874971470676,0.002089389760165846,3,8.144144527817895,0.47670227297314943,3,0.5842498995225598,0.011571266768040595,3,0.7527719900048565,0.008555020087094157,3,0.8854687534311706,0.016670217351578455,3,296.6666666666667,2.0816659994661246,3
