2,8,9-tris(2-methylpropyl)-2,5,8,9-tetraaza-1-phosphabicyclo[3.3.3]undecane	CC(C)CN1CCN2CCN(CC(C)C)P1N(CC(C)C)CC2
2-(((s)-1-hydroxy-1,1,3-triphenylpropan-2-ylimino)methyl)-6-chlorophenol	Oc1c(Cl)cccc1C=N[C@@H](Cc1ccccc1)C(O)(c1ccccc1)c1ccccc1
2-((dicyclohexylphosphino)methyl)-1,3-bis(2,6-diisopropylphenyl)-4,5-dimethyl-1h-imidazol-3-ium iodide	Cc1c(C)[n+](-c2c(C(C)C)cccc2C(C)C)c(CP(C2CCCCC2)C2CCCCC2)n1-c1c(C(C)C)cccc1C(C)C.[I-]
2-(2'-di-tert-butylphosphine)biphenylpalladium(ii) acetate	CC(=O)O.CC(C)(C)P(c1ccccc1-c1[c-]cccc1)C(C)(C)C.[Pd]
2-(2-benzoylhydrazine-1-carbonyl)-1-benzylpyrrolidine 1-oxide	O=C(NNC(=O)C1CCC[N+]1([O-])Cc1ccccc1)c1ccccc1
2-(4-methoxybenzylidene)-n-phenylhydrazinecarbothioamide	COc1ccc(C=NNC(=S)Nc2ccccc2)cc1
2-(di-tert-butylphosphino)-n,n-diisopropyl-5,6-dimethyl-1h-benzo[d]imidazole-1-carboxamide	Cc1cc2nc(P(C(C)(C)C)C(C)(C)C)n(C(=O)N(C(C)C)C(C)C)c2cc1C
2-(dicyclohexylphosphino)-2'-methylbiphenyl	Cc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1
2-(diphenylphosphinyl)-benzaldoxime	O=P(c1ccccc1)(c1ccccc1)c1ccccc1C=NO
2-(hydroxymethyl)benzoic acid	O=C(O)c1ccccc1CO
2-[2-(diphenylphosphino)phenyl]-4,4-dimethyl-4,5-dihydro-1,3-oxazole	CC1(C)COC(c2ccccc2P(c2ccccc2)c2ccccc2)=N1
2-amino-4(3h)-quinazolinone	Nc1nc2ccccc2c(=O)[nH]1
2-amino-phenol	Nc1ccccc1O
2-chloropyridine-n-oxide	[O-][n+]1ccccc1Cl
2-di-tertbutylphosphino-3,4,5,6-tetramethyl-2',4',6'-triisopropyl-1,1'-biphenyl	Cc1c(C)c(C)c(P(C(C)(C)C)C(C)(C)C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1C
2-dicyclohexylphosphino-2',6'-dimethoxybiphenyl	COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
2-hydroxy-pyridine n-oxide	[O-][n+]1ccccc1O
2-mesitylmagnesium bromide	Cc1cc(C)[c]([Mg][Br])c(C)c1
2-methyl-4'-nitro-1,1'-biphenyl	Cc1ccccc1-c1ccc([N+](=O)[O-])cc1
2-methyl-8-quinolinol	Cc1ccc2cccc(O)c2n1
2-methyl-propan-1-ol	CC(C)CO
