family,seed,stratifier,value,n,route10,cover,sys1,sys3,sys5,sys10
Buchwald-HartwigCross-Coupling,2,context_in_train_library,False,42,0.47619047619047616,0.0,0.0,0.0,0.0,0.0
Buchwald-HartwigCross-Coupling,2,context_in_train_library,True,1057,0.7086092715231788,0.618732261116367,0.3443708609271523,0.4739829706717124,0.5004730368968779,0.543046357615894
Chan_LamCoupling,2,seen_product,False,362,0.8093922651933702,0.7624309392265194,0.4558011049723757,0.5883977900552486,0.6325966850828729,0.6657458563535912
Chan_LamCoupling,2,seen_product,True,28,0.32142857142857145,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.2857142857142857
Chan_LamCoupling,2,context_in_train_library,False,5,0.4,0.0,0.0,0.0,0.0,0.0
Chan_LamCoupling,2,context_in_train_library,True,385,0.7792207792207793,0.7376623376623377,0.43376623376623374,0.5636363636363636,0.6077922077922078,0.6467532467532467
DielsAlder,2,seen_product,False,740,0.3716216216216216,0.34594594594594597,0.15675675675675677,0.21756756756756757,0.23648648648648649,0.2648648648648649
DielsAlder,2,seen_product,True,22,0.4090909090909091,0.4090909090909091,0.2727272727272727,0.36363636363636365,0.4090909090909091,0.4090909090909091
DielsAlder,2,context_in_train_library,False,27,0.14814814814814814,0.0,0.0,0.0,0.0,0.0
DielsAlder,2,context_in_train_library,True,735,0.38095238095238093,0.36054421768707484,0.16598639455782313,0.22993197278911565,0.2503401360544218,0.2789115646258503
Friedel-CraftsAcylation,2,seen_product,False,435,0.7149425287356321,0.664367816091954,0.28045977011494255,0.4,0.4574712643678161,0.5379310344827586
Friedel-CraftsAcylation,2,seen_product,True,40,0.575,0.475,0.075,0.1,0.15,0.175
Friedel-CraftsAcylation,2,context_in_train_library,False,17,0.47058823529411764,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAcylation,2,context_in_train_library,True,458,0.7117903930131004,0.6724890829694323,0.27292576419213976,0.388646288209607,0.44759825327510916,0.5262008733624454
Friedel-CraftsAlkylation,2,seen_product,False,848,0.5507075471698113,0.5212264150943396,0.28891509433962265,0.392688679245283,0.4386792452830189,0.4681603773584906
Friedel-CraftsAlkylation,2,seen_product,True,51,0.43137254901960786,0.39215686274509803,0.11764705882352941,0.2549019607843137,0.3333333333333333,0.37254901960784315
Friedel-CraftsAlkylation,2,context_in_train_library,False,21,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAlkylation,2,context_in_train_library,True,878,0.5501138952164009,0.5261958997722096,0.285876993166287,0.3940774487471526,0.4430523917995444,0.47380410022779046
