family,seed,arm,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c
Buchwald-HartwigCross-Coupling,1,full,0.5914467697907189,0.3348498635122839,0.4494995450409463,0.48316651501364877,0.5250227479526842,0.4029857531771227,0.4213751147096866,538,12.40027415055762,0.31784386617100374,0.5464684014869888,0.8234200743494424
Buchwald-HartwigCross-Coupling,1,no_ltr,0.5914467697907189,0.26933575978161967,0.34485896269335764,0.36396724294813465,0.3794358507734304,0.31719907619287313,0.3244884926079636,0,,,,
Buchwald-HartwigCross-Coupling,1,no_rgnn_temperature,0.5914467697907189,0.3348498635122839,0.4494995450409463,0.48316651501364877,0.5250227479526842,0.4029857531771227,0.4213751147096866,538,12.256004639405205,0.3420074349442379,0.570631970260223,0.8327137546468402
Chan_LamCoupling,1,full,0.7307692307692307,0.37948717948717947,0.5102564102564102,0.5538461538461539,0.6051282051282051,0.4617063116240167,0.4810498156649605,268,6.183165497014926,0.6753731343283582,0.8208955223880597,0.9291044776119403
Chan_LamCoupling,1,no_ltr,0.7307692307692307,0.4076923076923077,0.5230769230769231,0.5461538461538461,0.5641025641025641,0.47190991671534754,0.48468167175232446,0,,,,
Chan_LamCoupling,1,no_rgnn_temperature,0.7307692307692307,0.37948717948717947,0.5102564102564102,0.5538461538461539,0.6051282051282051,0.4617063116240167,0.4810498156649605,268,6.907056168283582,0.6044776119402985,0.7835820895522388,0.9402985074626866
DielsAlder,1,full,0.3464566929133858,0.17191601049868765,0.21653543307086612,0.22965879265091863,0.26246719160104987,0.2032853430113431,0.20884548551029777,208,19.60101520355769,0.22115384615384615,0.4567307692307692,0.6538461538461539
DielsAlder,1,no_ltr,0.3464566929133858,0.13910761154855641,0.1889763779527559,0.19291338582677167,0.21128608923884515,0.16837709039923934,0.1738287198770656,0,,,,
DielsAlder,1,no_rgnn_temperature,0.3464566929133858,0.17191601049868765,0.21653543307086612,0.22965879265091863,0.26246719160104987,0.2032853430113431,0.20884548551029777,208,23.537041174182693,0.1875,0.34615384615384615,0.5721153846153846
Friedel-CraftsAcylation,1,full,0.6484210526315789,0.2463157894736842,0.37894736842105264,0.4168421052631579,0.49894736842105264,0.32944203739111183,0.3500804593410123,270,10.7585382165,0.4074074074074074,0.6555555555555556,0.8629629629629629
Friedel-CraftsAcylation,1,no_ltr,0.6484210526315789,0.3031578947368421,0.4231578947368421,0.44842105263157894,0.45894736842105266,0.3715492722762448,0.38117698519636384,0,,,,
Friedel-CraftsAcylation,1,no_rgnn_temperature,0.6484210526315789,0.2463157894736842,0.37894736842105264,0.4168421052631579,0.49894736842105264,0.32944203739111183,0.3500804593410123,270,12.85713083759259,0.35185185185185186,0.6,0.8037037037037037
