family,seed,arm,n_queries,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c
DielsAlder,1,no_rgnn_temperature,762,0.3083989501312336,0.1272965879265092,0.19291338582677164,0.2178477690288714,0.2545931758530184,0.16926397060171805,0.1828639977422955,183,22.29853841967213,0.1366120218579235,0.3005464480874317,0.5901639344262295
DielsAlder,2,full,762,0.30971128608923887,0.12467191601049868,0.19028871391076116,0.2073490813648294,0.2414698162729659,0.1648615023375396,0.1761628617417832,183,16.362368741311474,0.273224043715847,0.45901639344262296,0.7377049180327869
DielsAlder,2,no_ltr,762,0.30971128608923887,0.08267716535433071,0.12598425196850394,0.1377952755905512,0.14960629921259844,0.11069674323201194,0.11512272764663885,0,,,,
DielsAlder,2,no_rgnn_temperature,762,0.30971128608923887,0.12467191601049868,0.19028871391076116,0.2073490813648294,0.2414698162729659,0.1648615023375396,0.1761628617417832,183,23.45874687311476,0.1912568306010929,0.3333333333333333,0.5409836065573771
Friedel-CraftsAcylation,0,full,475,0.5789473684210527,0.18105263157894738,0.28842105263157897,0.3452631578947369,0.4210526315789474,0.2595472074362108,0.2758011223359137,238,10.146813130924372,0.4117647058823529,0.6764705882352942,0.8571428571428571
Friedel-CraftsAcylation,0,no_ltr,475,0.5789473684210527,0.2231578947368421,0.32210526315789473,0.3494736842105263,0.36210526315789476,0.28323333709275356,0.2934358211332707,0,,,,
Friedel-CraftsAcylation,0,no_rgnn_temperature,475,0.5789473684210527,0.18105263157894738,0.28842105263157897,0.3452631578947369,0.4210526315789474,0.2595472074362108,0.2758011223359137,238,11.766136283512605,0.3907563025210084,0.6302521008403361,0.8151260504201681
Friedel-CraftsAcylation,1,full,475,0.5831578947368421,0.2,0.3263157894736842,0.3726315789473684,0.44,0.28104518048839316,0.30003655913757776,239,10.0050281358159,0.4225941422594142,0.6610878661087866,0.8702928870292888
Friedel-CraftsAcylation,1,no_ltr,475,0.5831578947368421,0.23789473684210527,0.32210526315789473,0.3473684210526316,0.3684210526315789,0.290888033471251,0.30422657789160346,0,,,,
Friedel-CraftsAcylation,1,no_rgnn_temperature,475,0.5831578947368421,0.2,0.3263157894736842,0.3726315789473684,0.44,0.28104518048839316,0.30003655913757776,239,12.516189413389123,0.3054393305439331,0.5857740585774058,0.799163179916318
Friedel-CraftsAcylation,2,full,475,0.5831578947368421,0.20631578947368423,0.3242105263157895,0.3705263157894737,0.4631578947368421,0.28832736404606807,0.3122368588774311,239,10.091635248326359,0.40585774058577406,0.6652719665271967,0.8661087866108786
Friedel-CraftsAcylation,2,no_ltr,475,0.5831578947368421,0.24210526315789474,0.33263157894736844,0.3536842105263158,0.3684210526315789,0.2962628649049444,0.307600266116675,0,,,,
Friedel-CraftsAcylation,2,no_rgnn_temperature,475,0.5831578947368421,0.20631578947368423,0.3242105263157895,0.3705263157894737,0.4631578947368421,0.28832736404606807,0.3122368588774311,239,12.542060588577408,0.3263598326359833,0.6192468619246861,0.8284518828451883
Friedel-CraftsAlkylation,0,full,899,0.3770856507230256,0.1657397107897664,0.27363737486095663,0.30700778642936594,0.3259176863181313,0.22787643779720113,0.24407536320401077,321,10.152479572109035,0.4143302180685358,0.6230529595015576,0.8442367601246106
Friedel-CraftsAlkylation,0,no_ltr,899,0.3770856507230256,0.14015572858731923,0.1735261401557286,0.1835372636262514,0.18798665183537264,0.16377741552315578,0.16477760415159012,0,,,,
Friedel-CraftsAlkylation,0,no_rgnn_temperature,899,0.3770856507230256,0.1657397107897664,0.27363737486095663,0.30700778642936594,0.3259176863181313,0.22787643779720113,0.24407536320401077,321,13.374274375420562,0.30218068535825543,0.5358255451713395,0.7912772585669782
Friedel-CraftsAlkylation,1,full,899,0.3781979977753059,0.19243604004449388,0.27363737486095663,0.3003337041156841,0.3270300333704116,0.2422856768578668,0.25696978092067535,322,11.682920798012423,0.39751552795031053,0.6024844720496895,0.8105590062111802
Friedel-CraftsAlkylation,1,no_ltr,899,0.3781979977753059,0.13793103448275862,0.18020022246941045,0.1846496106785317,0.19132369299221355,0.1649476852280999,0.16697769120040232,0,,,,
Friedel-CraftsAlkylation,1,no_rgnn_temperature,899,0.3781979977753059,0.19243604004449388,0.27363737486095663,0.3003337041156841,0.3270300333704116,0.2422856768578668,0.25696978092067535,322,13.966212354906833,0.3198757763975155,0.5248447204968945,0.7577639751552795
Friedel-CraftsAlkylation,2,full,899,0.37486095661846497,0.1935483870967742,0.3003337041156841,0.3192436040044494,0.3381535038932147,0.24939828044398943,0.26495404113537774,318,10.05751729792453,0.4056603773584906,0.6509433962264151,0.8647798742138365
